,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
104,Bethlehem Hydro,Hydro,,PP,ZA,15,,,0,0,0,2009,2009,2109,-28.217,28.3631,,,
106,Bisasar Road Landfill,Waste,,PP,ZA,6.5,,,0,0,0,2008,2008,2033,-29.813,30.9821,,,
107,Dundee Biogas,Waste,,PP,ZA,2.22,,,0,0,0,2016,2016,2041,-28.119,30.3584,,,
108,Ferro Waste Heat,Waste,,PP,ZA,2.2,,,0,0,0,2011,2011,2036,-25.725,27.6115,,,
109,Grahamstown,Bioenergy,,PP,ZA,3.5,,,0,0,0,2013,2013,,-33.315,26.4908,,,
110,Hernic Waste Heat,Waste,,PP,ZA,25.47,,,0,0,0,2013,2013,2038,-25.662,27.837,,,
112,Katende,Hydro,,PP,CD,64,,,0,0,0,2016,2016,2116,-6.3581,22.4472,,,
114,Lobito,CCGT,CCGT,PP,AO,20,,,0,0,0,2017.5,2017.5,2057.5,-12.37,13.57,,,
115,Lomati,Bioenergy,,PP,ZA,10.1,,,0,0,0,2013,2013,,-25.772,31.0406,,,
118,Luano,Oil,,PP,ZM,40,,,0,0,0,1982.333333,1982.333333,2022.333333,-11.5667,24.1333,,,
119,Luanshya Nchanga,Oil,,PP,ZM,14.6,,,0,0,0,1982.333333,1982.333333,2022.333333,-13.1333,28.4,,,
120,Lupohlo,Hydro,,PP,SZ,20.8,,,0,0,0,1977.2,1977.2,2077.2,-26.3763,31.1552,,,
121,Lusaka,Oil,,PP,ZM,15,,,0,0,0,1982.333333,1982.333333,2022.333333,-15.433,28.333,,,
123,Mariannhill Landfill,Waste,,PP,ZA,2,,,0,0,0,2011,2011,2036,-29.848,30.8359,,,
124,Mhlume Mill,Bioenergy,,PP,SZ,14,,,0,0,0,2013,2013,,-26.0333,31.85,,,
125,Mtwara,CCGT,CCGT,PP,TZ,18,,,0,0,0,2010.4,2010.4,2050.4,-10.26,40.041,,,
126,Mufulira Nchanga,Oil,,PP,ZM,10,,,0,0,0,1982.333333,1982.333333,2022.333333,-12.55,28.2333,,,
127,Nakambala Sugar,Bioenergy,,PP,ZM,12.237,,,0,0,0,2013,2013,,-15.8333,27.7667,,,
128,Namibe,CCGT,CCGT,PP,AO,11.68,,,0,0,0,2017.5,2017.5,2057.5,-15.1961,12.1522,,,
129,Nchalo Mill,Bioenergy,,PP,MW,10,,,0,0,0,2013,2013,,-15.7833,35,,,
130,Ndola,Oil,,PP,ZM,50,,,0,0,0,1982.333333,1982.333333,2022.333333,-12.9667,28.6333,,,
131,Neusberg,Hydro,,PP,ZA,10,,,0,0,0,1988,1988,2088,-28.772,20.7431,,,
132,Nkana,Oil,,PP,ZM,20,,,0,0,0,1982.333333,1982.333333,2022.333333,-12.8167,28.2,,,
133,Nyakato,CCGT,CCGT,PP,TZ,63,,,0,0,0,2012,2012,2052,-2.524,32.9662,,,
134,Petrosa Biogas,Waste,,PP,ZA,4.2,,,0,0,0,2007,2007,2032,-34.145,22.1045,,,
135,Pointe Noire,Oil,,PP,CD,13.24,,,0,0,0,1982.333333,1982.333333,2022.333333,-4.7947,11.8461,,,
136,Rio Luachimo,Hydro,,PP,AO,16,,,0,0,0,1979.363636,1979.363636,2079.363636,-7.3,20.85,,,
137,Rutshuru,Hydro,,PP,CD,13.8,,,0,0,0,2015,2015,2115,-1.2258,29.46,,,
138,Sha,Hydro,,PP,CD,34.5,,,0,0,0,1971,1971,2071,-10.752,27.245,,,
139,Simunye Mill,Bioenergy,,PP,SZ,17,,,0,0,0,2013,2013,,-26.1778,31.9073,,,
140,Sua Pan Soda Ash,Hard Coal,,PP,BW,14,,,0,0,0,1986,1986,2031,-21.1667,27.5167,,,
141,Ubombo Mill,Bioenergy,,PP,SZ,13,,,0,0,0,2013,2013,,-26.7729,31.9416,,,
142,Ubungo Gas Songas,CCGT,CCGT,PP,TZ,207.5,,,0,0,0,2010.4,2010.4,2050.4,-6.7945,39.2086,,,
144,Arusha,CCGT,CCGT,PP,TZ,50,,,0,0,0,2010.4,2010.4,2050.4,-3.38340321,36.68338935,,,
145,Avon,CCGT,CCGT,PP,ZA,670,,,0,0,0,2016,2016,2056,-29.418913,31.157693,,,
146,Central De Quileva,CCGT,CCGT,PP,AO,84,,,0,0,0,2018,2018,2058,-12.38199,13.5921,,,
147,Dedisa,CCGT,CCGT,PP,ZA,335,,,0,0,0,2015,2015,2055,-33.743385,25.672819,,,
148,Dodoma,CCGT,CCGT,PP,TZ,55,,,0,0,0,2010.4,2010.4,2050.4,-6.158946464,35.74877104,,,
149,Francistown Apr,CCGT,CCGT,PP,BW,70,,,0,0,0,2010,2010,2050,-21.16721748,27.51881808,,,
150,Gigawatt Mozambique,CCGT,CCGT,PP,MZ,117,,,0,0,0,2015,2015,2055,-25.46206105,32.00378778,,,
151,Gigawatt Park,CCGT,CCGT,PP,MZ,119.6,,,0,0,0,2015,2015,2055,-24.65133439,32.13541401,,,
152,Karpowership Mozambique Mehmet Bey,CCGT,CCGT,PP,MZ,125,,,0,0,0,2018,2018,2058,-14.554565,40.666173,,,
153,Kinyerezi,CCGT,CCGT,PP,TZ,240,,,0,0,0,2018,2018,2058,-6.857982,39.150713,,,
154,Maputo,CCGT,CCGT,PP,MZ,121,,,0,0,0,2018,2018,2058,-25.9393,32.530062,,,
156,Ndola Energy Hfo,CCGT,CCGT,PP,ZM,105,,,0,0,0,2017,2017,2057,-13.01476639,28.66166932,,,
157,Ressano Garcia,CCGT,CCGT,PP,MZ,175,,,0,0,0,2015,2015,2055,-25.46224509,32.00449589,,,
158,Secunda,CCGT,CCGT,PP,ZA,280,,,0,0,0,2011,2011,2051,-26.5601173,29.1686447,,,
159,Soyo,CCGT,CCGT,PP,AO,720,,,0,0,0,2017,2017,2057,-6.181824,12.325453,,,
162,Medupi,Hard Coal,Steam Turbine,PP,ZA,4768.8,,,0,0,0,2015,2015,2071,-23.704973,27.563839,,,
163,Ndola Cement,Hard Coal,Steam Turbine,PP,ZM,30,,,0,0,0,2015,2015,2060,-13.027011,28.779202,,,
164,Richards Bay Mill,Hard Coal,Steam Turbine,PP,ZA,72.3,,,0,0,0,1984,1984,2029,-28.76208,31.99352,,,
165,Zhongxin,Hard Coal,Steam Turbine,PP,ZW,320,,,0,0,0,2022,2022,2067,-18.328292,26.404754,,,
166,Busanga,Hydro,Reservoir,PP,CD,0,,,0,0,0,2021,2021,2121,-10.0904,25.3931,,,
168,Julius Nyerere,Hydro,Reservoir,PP,TZ,2100,,,0,0,0,2024,2024,2124,-7.8032,37.8511,,,
170,Lauca,Hydro,Run-Of-River,PP,AO,2071,,,0,0,0,2017,2017,2117,-9.7449,15.1251,,,
172,Sombwe,Hydro,Reservoir,PP,CD,0,,,0,0,0,1971,1971,2071,-9.3877,26.9366,,,
181,Soleniama,Hydro,,PP,CD,25.5,,,0,0,0,2000,2000,2100,1.64,30.34,,,
182,Sanga,Hydro,Run-Of-River,PP,CD,12,,,0,0,0,1932,2000,2100,-4.839,14.956,,,
183,Tshala-Lubilanji,Hydro,Run-Of-River,PP,CD,1.6,,,0,0,0,2022,2022,2122,-6.085,23.765,,,
184,Mpozo,Hydro,,PP,CD,2.2,,,0,0,0,1938,1938,2100,-5.833,13.5,,,
185,Budana,Hydro,Run-Of-River,PP,CD,13.8,,,0,0,0,2023,2023,2123,1.5616,30.163,,,
186,Lungudi,Hydro,Run-Of-River,PP,CD,1.6,,,0,0,0,1949,1949,2100,-6.5,20.889,,,
187,Kilubi,Hydro,,PP,CD,9.9,,,0,0,0,1954,1954,2100,-8.03,25.21,,,
188,Thsopo,Hydro,Run-Of-River,PP,CD,8.8,,,0,0,0,1950,1950,2100,0.538,25.18,,,
189,Kyimbi,Hydro,Reservoir,PP,CD,17.2,,,0,0,0,1959,1959,2100,-5.03,28.9333,,,
190,Lutshurukuru,Hydro,,PP,CD,5.1,,,0,0,0,2000,2000,2100,-2.85,23.36,,,
191,Ambwe/Kailo,Hydro,Run-Of-River,PP,CD,2.2,,,0,0,0,2000,2000,2100,-2.85,23.36,,,
192,Mobayi,Hydro,Run-Of-River,PP,CD,11.4,,,0,0,0,1987,1987,2100,4.3,21.18,,,
193,Belia,Hydro,Reservoir,PP,CD,2.2,,,0,0,0,2000,2000,2100,1.42,26.49,,,
194,Mangembe,Hydro,,PP,CD,1.8,,,0,0,0,2000,2000,2100,-4.067443,27.993507,,,
195,Lulingu,Hydro,,PP,CD,0.7,,,0,0,0,2000,2000,2100,-2.85,23.36,,,
196,Moga,Hydro,,PP,CD,0.4,,,0,0,0,2000,2000,2100,-2.85,23.36,,,
197,Piana,Hydro,Run-Of-River,PP,CD,29.5,,,0,0,0,2023,2023,2123,-7.64,28.09,,,
217,Kruisvallei Hydro,Hydro,Run-Of-River,PP,ZA,42,,,0,0,0,2021,2021,2121,-28.4,28.35,,,
218,Stortemelk Hydro,Hydro,Run-Of-River,PP,ZA,42,,,0,0,0,2016,2016,2116,-28.41,28.38,,,
219,EA Power,Hydro,,PP,TZ,10,,,0,0,0,2000,2000,2100,-5.15583,38.4503,,,
220,Mapembasi,Hydro,Run-Of-River,PP,TZ,10,,,0,0,0,2021,2021,2121,-9.33,35.13,,,
221,Mwenga,Hydro,Reservoir,PP,TZ,4,,,0,0,0,2012,2012,2112,-8.61,35.68,,,
230,Lusiwasi Upper,Hydro,Run-Of-River,PP,ZM,15,,,0,0,0,2021,2021,2121,-12.9884,30.8649,,,
233,Chishimba Falls,Hydro,Reservoir,PP,ZM,24,,,0,0,0,2020,2020,2120,-10.11,30.9,,,
